,COF ID,k_avg [W/(mK)],k_x [W/(mK)],k_y [W/(mK)],Density [g/cm³],Largest included sphere diameter [A],Void fraction [-],Surface area [m^2/g],Dangling Mass Ratio [-]
347,linker94_NH_linker65_CH2_hnb_relaxed,0.2678823519315605,0.2725764727711607,0.2631882310919604,0.36820354,40.34306,0.925769,7894.71,0.175426073
348,linker99_C_linker89_C_kgm_relaxed,0.6174589286835245,0.6114414188130491,0.6234764385539998,0.54515311,22.91536,0.853252,6518.04,0.051728222
349,linker91_CH_linker45_N_hcb_relaxed,0.6428638216673204,0.6373960524584198,0.6483315908762209,0.79884912,14.57266,0.892405,8165.3,0.223673819
350,linker91_C_linker32_C_hcb_relaxed,1.2764481833142172,1.2958326747105546,1.2570636919178797,0.7356431,19.55471,0.869873,6210.75,0.226141998
351,linker96_N_linker6_CH_hcb_relaxed,0.49439759728660493,0.4971531072669833,0.4916420873062266,0.50259091,32.13477,0.921075,7047.19,0.245315475
352,linker93_C_linker11_C_hca_relaxed,0.4134883658688534,0.3973672448946301,0.4296094868430767,0.32945766,43.39106,0.895249,6328.1,0.242384747
353,linker91_C_linker35_C_hnd_relaxed,1.4036613379330412,1.3922258218530656,1.4150968540130169,0.77681007,21.78602,0.908603,7110.84,0.026131903
354,linker91_CO_linker82_NH_hcb_relaxed,0.8606362978051454,0.8452192587936381,0.8760533368166528,0.76611185,15.16519,0.884934,7485.79,0.214372345
355,linker92_C_linker62_C_fxt_relaxed,1.1593659000556311,1.1794273770114272,1.1393044230998353,0.84730558,23.91531,0.855013,6408.63,0.20971669
356,linker94_NH_linker8_CO_hnb_relaxed,0.3544139949474062,0.3621998077499471,0.3466281821448653,0.40195583,40.87073,0.925334,6929.59,0.303911201
357,linker97_C_linker4_C_kgm_relaxed,0.8839040195000791,0.9237724528860056,0.8440355861141525,0.41178267,41.47729,0.910026,7353.39,0.215292407
358,linker105_N_linker63_CH_sql_relaxed,0.9627390207986393,0.9648976957847918,0.9605803458124867,1.0066117,10.61774,0.838013,7144.24,0.201670716
359,linker98_C_linker16_C_sql_relaxed,0.9249208681816634,0.92428437432737,0.925557362035957,0.48852634,20.53286,0.878376,7429.79,0.203537427
360,linker96_N_linker4_CH_hcb_relaxed,0.5381246703379012,0.5533451199970938,0.5229042206787086,0.45369145,31.08259,0.930482,8218.05,0.155804618
361,linker91_C_linker12_C_hcb_relaxed,3.81763265496288,4.030531813862413,3.6047334960633473,1.380445,11.58546,0.718056,3442.11,0.354072763
362,linker91_C_linker83_C_hne_relaxed,1.1568074650404205,1.1532151041001897,1.1603998259806516,1.1294612,12.44845,0.772242,3740.25,
363,linker107_C_linker57_C_kgm_relaxed,0.5743273289363959,0.5599529258400412,0.5887017320327506,0.71283823,16.97916,0.742812,3203.63,0.384677123
364,linker97_CH2_linker61_NH_kgm_relaxed,0.41647814527830707,0.4232733565116446,0.4096829340449696,0.34618294,46.20229,0.918465,8122.71,
365,linker104_C_linker84_C_kgm_relaxed,0.8463965504215906,0.8342901991365811,0.8585029017066,0.78642687,16.90375,0.815564,5072.48,0.260034869
366,linker105_C_linker25_C_kgm_relaxed,0.5956164543953653,0.5981363737496641,0.5930965350410664,0.64364399,20.898,0.814403,4902.21,0.351300262
367,linker92_N_linker6_CH_tts-a_relaxed,0.48263305083802566,0.4953333735849302,0.4699327280911212,0.85123596,25.83108,0.866659,5927.94,0.360671016
368,linker92_C_linker80_C_htb-a_relaxed,0.3710395913886698,0.3822164571055104,0.3598627256718293,0.5709565,25.60729,0.664924,3208.89,0.375920332
369,linker98_C_linker36_C_htb_relaxed,0.8426236750072174,0.8235367917176584,0.8617105582967763,0.50009872,35.82374,0.894772,6564.97,0.162953119
370,linker95_C_linker27_C_hnb_relaxed,0.335955126669484,0.349960664294301,0.321949589044667,0.28023853,52.08029,0.942877,8017.45,0.15423313
371,linker108_CO_linker24_NH_kgm_relaxed,0.6021356161457473,0.6069539765227117,0.5973172557687829,0.74506613,25.88981,0.855877,5690.39,
372,linker95_CH_linker5_N_hcb_relaxed,0.37904120370712624,0.361084718563056,0.3969976888511964,0.33145869,40.04475,0.93808,9239.99,0.10030375
373,linker92_C_linker89_C_fxt_relaxed,0.8038536188625343,0.8083849746474894,0.7993222630775793,0.52023545,41.50336,0.895076,7527.72,
374,linker99_C_linker15_C_kgm_relaxed,0.6624863814437829,0.6690406018685952,0.6559321610189708,0.52616955,23.06085,0.858986,7278.14,0.107729642
375,linker93_C_linker83_C_hnb_relaxed,0.4222665830330661,0.4352733255050958,0.4092598405610363,0.37703938,29.44683,0.886398,6252.23,0.221904102
